change,name,value,time
+104.79, INDU:IND ,"24,824.01",4:52 PM
+0.42%, SPX:IND ,"2,695.81",4:52 PM
+2.44%, CCMP:IND ,"7,006.90",5:16 PM
+24.86%, NYA:IND ,"12,902.72",7:14 PM
+22.20, SPTSX:IND ,"16,309.99",5:04 PM
+0.83%, SX5E:IND ,"3,490.19",5:03 PM
+2.03%, UKX:IND ,"7,648.10",11:35 AM
+19.40%, DAX:IND ,"12,871.39",12:30 PM
+103.51, CAC:IND ,"5,288.60",12:05 PM
+1.50%, IBEX:IND ,"10,079.10",11:38 AM
+2.33%, NKY:IND ,"22,764.94",12/29/2017
+29.06%, TPX:IND ,"1,817.56",12/29/2017
+93.88, HSI:IND ,"30,615.75",11:05 PM
+0.73%, SHSZ300:IND ,"4,138.19",10:30 PM
+2.28%, AS51:IND ,"6,069.10",11:34 PM
+15.67%, MXAP:IND ,175.55,4:18 PM
